Security_1,Security_2,Last_Spread,Z_Score,Max,Min,Last_vs_Max,Last_vs_Min,Percentile,XCCY,Custom_Sector_1,Custom_Sector_2,Rating_1,Rating_2,Currency_1,Currency_2,Ticker_1,Ticker_2,CPN_TYPE_1,CPN_TYPE_2,Yrs_Mat_Bucket_1,Yrs_Mat_Bucket_2,Yrs_Since_Issue_Bucket_1,Yrs_Since_Issue_Bucket_2,Own?,Best Bid_runs1,Best Offer_runs1,Bid/Offer_runs1,Dealer @ Best Bid_runs1,Dealer @ Best Offer_runs1,Size @ Best Bid_runs1,Size @ Best Offer_runs1,G Spread_runs1,Keyword_runs1,Best Bid_runs2,Best Offer_runs2,Bid/Offer_runs2,Dealer @ Best Bid_runs2,Dealer @ Best Offer_runs2,Size @ Best Bid_runs2,Size @ Best Offer_runs2,G Spread_runs2,Keyword_runs2
ALTALK 1.509 09/11/30,BCECN 1.65 08/16/27,3.3970,-1.9618,32.1167,0.5796,-28.7197,2.8174,2.1825,-0.4631,Utility,Cable/Telco,A-,BBB,CAD,CAD,ALTALK,BCECN,FIXED,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,36.0000,26.0000,10.0000,RBC,RBC,3000000.0000,3000000.0000,33.0600,,30.0000,,,NBF,,5000000.0000,,38.7000,
CCDJ 1.992 05/28/31,CRRUCN 2.686 03/31/28,-59.1487,-1.9588,-33.8532,-60.7511,-25.2955,1.6023,4.5635,-56.3441,Non Major Sub Debt,REIT,A-,NR,CAD,CAD,CCDJ,CRRUCN,VARIABLE,FIXED,5.1-7.1,2.1-3.1,3-5,3-5,0,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE,95.0000,,,SCM,,3000000.0000,,97.0000,
ATDBCN 3 5/8 05/13/51,CCDJ 1.992 05/28/31,98.5883,1.9535,101.9755,49.4983,-3.3873,49.0900,98.6111,76.9952,Non Financial Maples,Non Major Sub Debt,BBB+,A-,USD,CAD,ATDBCN,CCDJ,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,38.0000,28.0000,10.0000,NBF,NBF,25000000.0000,5000000.0000,37.0200,AXE
ATDBCN 3.439 05/13/41,BAC 2.087 06/14/29,74.4474,1.9532,75.9980,39.3758,-1.5506,35.0716,99.0079,70.5029,Non Financial Maples,Financial Maples,BBB+,A,USD,USD,ATDBCN,BAC,FIXED,VARIABLE,10.1-25.1,3.1-4.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
ATDBCN 3.439 05/13/41,CM 1.96 04/21/31,105.4280,1.9459,108.5687,47.6670,-3.1406,57.7610,99.0079,104.2662,Non Financial Maples,NVCC Sub Debt,BBB+,BBB+,USD,CAD,ATDBCN,CM,FIXED,VARIABLE,10.1-25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
CCOCN 2.95 10/21/27,CRRUCN 2.686 03/31/28,-38.0986,-1.9444,-22.7991,-41.6643,-15.2994,3.5657,4.9603,-35.7091,Other,REIT,BBB-,NR,CAD,CAD,CCOCN,CRRUCN,FIXED,FIXED,2.1-3.1,2.1-3.1,3-5,3-5,0,63.0000,53.0000,10.0000,NBF,NBF,5000000.0000,2000000.0000,58.1200,AXE,95.0000,,,SCM,,3000000.0000,,97.0000,
BCECN 3.65 03/17/51,CM 1.96 04/21/31,76.1025,1.9432,83.6914,36.0187,-7.5889,40.0838,97.4206,68.8613,Cable/Telco,NVCC Sub Debt,BBB,BBB+,USD,CAD,BCECN,CM,FIXED,VARIABLE,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
ATDBCN 3 5/8 05/13/51,CIXCN 3.2 12/17/30,-35.4294,1.8925,-31.7163,-92.8990,-3.7131,57.4696,98.6111,-61.3386,Non Financial Maples,Asset Manager,BBB+,NR,USD,USD,ATDBCN,CIXCN,FIXED,FIXED,>25.1,5.1-7.1,3-5,3-5,0,,,,,,,,,,,,,,,,,,
AERMON 3.441 04/26/51,BCECN 2.2 05/29/28,58.0555,1.8885,67.7665,39.2653,-9.7110,18.7902,98.2143,50.2181,Airport,Cable/Telco,A+,BBB,CAD,CAD,AERMON,BCECN,FIXED,FIXED,>25.1,2.1-3.1,3-5,3-5,0,104.0000,98.0000,6.0000,TD,RBC,5000000.0000,5000000.0000,103.7400,AXE,51.0000,,,CIBC,,3000000.0000,,49.0000,
BIP 2.855 09/01/32,CM 1.96 04/21/31,79.4400,1.8848,82.6237,52.1825,-3.1836,27.2575,96.2302,79.3257,Infastructure,NVCC Sub Debt,BBB+,BBB+,CAD,CAD,BIP,CM,FIXED,VARIABLE,7.1-10.1,5.1-7.1,3-5,3-5,0,112.0000,,,RBC,,5000000.0000,,110.0000,,32.0000,31.0000,1.0000,CIBC,NBF,20000000.0000,5000000.0000,31.5800,
