Security,Bid Spread,Ask Spread,Bid Size,Ask Size,DoD,WoW,MTD,QTD,YTD,1YR,DoD Chg Bid Size,DoD Chg Ask Size,MTD Chg Bid Size,MTD Chg Ask Size,Best Bid,Best Offer,Bid/Offer,Dealer @ Best Bid,Dealer @ Best Offer,Size @ Best Bid,Size @ Best Offer,CUSIP,G Spread,Keyword
SUCN 4.34 09/13/46,160.0,150.0,3000000.0,1000000.0,-2.0,-2.0,-2.0,-2.0,-52.0,-52.0,0.0,0.0,0.0,0.0,156.0,149.0,7.0,TD,TD,3000000.0,2000000.0,86721ZAN9,164.65,
SUCN 4.34 09/13/46,160.0,154.0,2000000.0,1000000.0,-2.0,-3.0,-2.0,-2.0,,,1000000.0,-1000000.0,1000000.0,-1000000.0,156.0,149.0,7.0,TD,TD,3000000.0,2000000.0,86721ZAN9,164.67,AXE
SUCN 4.34 09/13/46,165.0,160.0,2000000.0,0.0,-2.0,-2.0,-2.0,-2.0,-47.0,-47.0,0.0,0.0,0.0,0.0,156.0,149.0,7.0,TD,TD,3000000.0,2000000.0,86721ZAN9,169.59,
SUCN 3.1 05/24/29,121.0,114.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,,,,,,,,86721ZAP4,118.83,
SUCN 3.1 05/24/29,118.0,111.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,,,,,,,,86721ZAP4,115.86,
XCN 3.779 06/05/28,56.0,49.0,5000000.0,0.0,-2.0,-4.0,-2.0,-2.0,-59.0,-59.0,0.0,0.0,0.0,0.0,56.0,53.0,3.0,NBF,BMO,5000000.0,3000000.0,87262KAE5,55.89,
SUCN 3.1 05/24/29,98.0,88.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-66.0,-66.0,0.0,0.0,0.0,0.0,,,,,,,,86721ZAP4,95.9,
SUCN 5 04/09/30,129.0,122.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,,,,,,,,86721ZAQ2,133.32,
SUCN 5 04/09/30,133.0,123.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,-42.0,-42.0,0.0,0.0,0.0,0.0,,,,,,,,86721ZAQ2,137.41,
SUCN 3.95 03/04/51,160.0,150.0,3000000.0,1000000.0,-2.0,-2.0,-2.0,-2.0,-49.0,-49.0,0.0,0.0,0.0,0.0,155.0,150.0,5.0,TD,TD,5000000.0,5000000.0,86721ZAR0,158.9,
SUCN 3.95 03/04/51,160.0,154.0,2000000.0,0.0,-2.0,-3.0,-2.0,-2.0,-49.0,-49.0,1000000.0,0.0,1000000.0,0.0,155.0,150.0,5.0,TD,TD,5000000.0,5000000.0,86721ZAR0,158.91,
SUCN 3.95 03/04/51,163.0,158.0,3000000.0,3000000.0,-2.0,-2.0,-2.0,-2.0,-45.0,-45.0,0.0,0.0,0.0,0.0,155.0,150.0,5.0,TD,TD,5000000.0,5000000.0,86721ZAR0,161.88,
SUCN 5.4 11/17/26,56.0,49.0,5000000.0,1000000.0,-2.0,-2.0,-2.0,-2.0,-44.0,-44.0,0.0,0.0,0.0,0.0,53.0,50.0,3.0,RBC,RBC,5000000.0,5000000.0,86721ZAX7,56.15,
SUCN 5.4 11/17/26,57.0,50.0,5000000.0,0.0,-2.0,-2.0,-2.0,-2.0,-41.0,-41.0,0.0,0.0,0.0,0.0,53.0,50.0,3.0,RBC,RBC,5000000.0,5000000.0,86721ZAX7,57.13,
SUCN 5.4 11/17/26,53.0,50.0,5000000.0,5000000.0,-2.0,-2.0,-2.0,-2.0,-47.0,-47.0,0.0,0.0,0.0,0.0,53.0,50.0,3.0,RBC,RBC,5000000.0,5000000.0,86721ZAX7,53.15,AXE
SUCN 5 04/09/30,131.0,124.0,0.0,0.0,-2.0,-2.0,-2.0,-2.0,,,0.0,0.0,0.0,0.0,,,,,,,,86721ZAQ2,135.32,
TD 3.06 01/26/32,70.0,66.0,10000000.0,10000000.0,-2.0,-2.0,-2.0,-2.0,-74.0,-74.0,0.0,0.0,0.0,0.0,70.0,65.0,5.0,RBC,TD,10000000.0,5000000.0,89117FPG8,70.0,
