Date,SECURITY,SECURITY TYPE,MODIFIED DURATION,QUANTITY,PRICE,YIELD TO MAT,UNDERLYING SECURITY,POSITION CR01,VALUE PCT NAV,POSITION PVBP,ACCOUNT,PORTFOLIO,MATURITY DATE,UNDERLYING CUSIP,VALUE,TRADE GROUP,STRATEGY,CURRENCY,COMPANY SYMBOL,CUSIP,ISIN,MATURITY BUCKET,COUPON,SECURITY PVBP,SECURITY CR01,CREDIT RATING,SECURITY CLASSIFICATION,UNDERLYING ISIN,BENCHMARK MATURITY DATE,PCT OF OUTSTANDING,FACE VALUE OUTSTANDING,CDS Adj Size (Calc),Yield,Yield CAD Fee Included,Fuding Status,TradeGroup Fixed,Benchmark Yield,Benchmark Yield Including Fee,Sprd Calculated,Sprd Funding Adjusted,OAS (Bloomberg),OAS Fund Adj(Bloomberg),Yrs Calc,Duration Calc,OAD Calc,Yrs Calc (Corps),Yrs Calc (Corps + CDX),Duration Calc (Corps),Duration Calc (Corps + CDX),Funding Cost
06/13/2025,CASH CAD,Cash,0.0,-20744042.629,1.0,0.0,CASH CAD,0.0,-0.05548369354068605,0.0,TD FIAF,YTM Cap FIAF,1900-01-01,,-20744042.629,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-20744042.629,2.95,2.95,Cash,Cash,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.95
06/13/2025,CASH USD,Cash,0.0,-744919.9462,1.359,0.0,CASH USD,0.0,-0.003182572947819179,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-1012346.2068858,,,USD,CASH USD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-1012346.2068858,4.98,4.98,Cash,Cash,4.98,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.98
06/13/2025,CASH CAD,Cash,0.0,4.7624,1.0,0.0,CASH CAD,0.0,0.987128527185334,0.0,BMO - KJH Credit,KJH Credit Fund,1900-01-01,,4.7624,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,4.7624,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/13/2025,CASH CAD,Cash,0.0,439827.7587,1.0,0.0,CASH CAD,0.0,0.0011763988828427322,0.0,BMO FIAF (Custody),YTM Cap FIAF,1900-01-01,,439827.7587,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,439827.7587,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/13/2025,CASH USD,Cash,0.0,1306427.67,1.359,0.0,CASH USD,0.0,0.004748722536671379,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,1775435.20353,,,USD,CASH USD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,1775435.20353,3.88,3.88,Cash,Cash,3.88,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.88
06/13/2025,CASH CAD,Cash,0.0,12030104.5862,1.0,0.0,CASH CAD,0.0,0.03217669034241178,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,12030104.5862,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,12030104.5862,2.3,2.3,Cash,Cash,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3
06/19/2025,CASH CAD,Cash,0.0,-222247781.2548,1.0,0.0,CASH CAD,0.0,-0.6989061676309047,0.0,TD - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-222247781.2548,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-222247781.2548,2.95,2.95,Cash,Cash,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.95
06/19/2025,CASH CAD,Cash,0.0,-56157767.0615,1.0,0.0,CASH CAD,0.0,-0.1766002321285911,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-56157767.0615,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-56157767.0615,3.0,3.0,Cash,Cash,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.0
06/19/2025,CASH CAD,Cash,0.0,-4923880.529,1.0,0.0,CASH CAD,0.0,-0.013144431955705178,0.0,TD FIAF,YTM Cap FIAF,1900-01-01,,-4923880.529,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-4923880.529,2.95,2.95,Cash,Cash,2.95,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.95
06/19/2025,CASH USD,Cash,0.0,-1210031.1362,1.3716,0.0,CASH USD,0.0,-0.0052192182871203365,0.0,BMO - Credit Opp,YTM Cap Credit Opp,1900-01-01,,-1659678.70641192,,,USD,CASH USD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,-1659678.70641192,4.98,4.98,Cash,Cash,4.98,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.98
06/19/2025,CASH CAD,Cash,0.0,4.7624,1.0,0.0,CASH CAD,0.0,0.9870583108883824,0.0,BMO - KJH Credit,KJH Credit Fund,1900-01-01,,4.7624,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,4.7624,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/19/2025,CASH CAD,Cash,0.0,439827.7587,1.0,0.0,CASH CAD,0.0,0.0011741320717293274,0.0,BMO FIAF (Custody),YTM Cap FIAF,1900-01-01,,439827.7587,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,439827.7587,2.25,2.25,Cash,Cash,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.25
06/19/2025,CASH USD,Cash,0.0,1045760.96,1.3716,0.0,CASH USD,0.0,0.0038290780335754064,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,1434365.732736,,,USD,CASH USD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,1434365.732736,3.88,3.88,Cash,Cash,3.88,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,3.88
06/19/2025,CASH CAD,Cash,0.0,12061869.3662,1.0,0.0,CASH CAD,0.0,0.03219948579353937,0.0,BMO FIAF (Prime),YTM Cap FIAF,1900-01-01,,12061869.3662,,,CAD,CASH CAD,,,,0.0,0.0,0.0,,,,1900-01-01,0.0,0.0,12061869.3662,2.3,2.3,Cash,Cash,2.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,2.3
